video_id	duration_s	classification	n_strategies	title
lhPbCJfiCJE	924	CONCEPT	0	Stop Loss Hunting Finally Made Sense After I Found This Strategy
3zKGz6aTw64	900	STRATEGY	1	After 100+ Hours Of Volume Price Analysis, I Discovered This Trading Strategy
F50ZOjjgBlk	891	CONCEPT	0	The Biggest SCAM In Trading Industry (A Deep Dive Into Liquidity & Manipulation)
pMLjGBauYns	950	TOOLING	0	If Candlesticks Are Letting You Down, The Range Bar Chart Might Get You The Edge You Need
z3TBWjnHRqg	1483	STRATEGY	1	I Stopped Overcomplicating SMC, Now I Only Use This Trading Strategy
m2Pt9HCZPJI	1811	MULTI-STRATEGY	11	Volume Spread Analysis: The VSA Patterns That Expose Smart Money
MEauxc4MCOU	1811	MULTI-STRATEGY	3	I Studied Smart Money Trading for 8 Years — Found This Strategy
XFC0QbswC_g	902	STRATEGY	1	Volume Trading Strategy EXPOSED (Volume Price Action Analysis)
cL5MRqaq37k	1813	STRATEGY	1	Before You Trade Order Blocks, Check This Strategy
2VCbqxfWsuc	968	PSYCHOLOGY	0	If I Started Trading From Scratch Again, I’d 100% Do This
paCYk2lWxrY	878	MULTI-STRATEGY	4	Best Trading Strategies For The Market Open (London & New York Sessions Made EASY)
0ysRYbBr2NI	1851	MULTI-STRATEGY	6	I Spent 500 Hours Learning Smart Money Concepts & ICT (Here's The Shortcut)
3wvnpLXs2zE	1801	MULTI-STRATEGY	6	I Tried Every Strategy, This Scalping Trading Course Changed Everything
n9p2F4Uo6tk	910	STRATEGY	1	I Decoded The Take Profit Algorithm In Trading (Best EXIT Strategies)
o_jQQJhTRKM	919	STRATEGY	1	Revealing My SECRET Trendline Trading Strategy To Avoid 80% Of Stop Hunts
m9DfD5mYEKU	3924	MULTI-STRATEGY	6	I Spent 14 Years Trading Smart Money. This Course Has Everything
w_VNaTAB64c	4653	MULTI-STRATEGY	26	I Distilled 15 Years of Day Trading Into One Beginner Course
h_vWG2WLdNs	1082	STRATEGY	1	I Discovered Smart Money's #1 Trading Strategy (Market Manipulation EXPOSED)
kwivhbXLg9Q	5565	MULTI-STRATEGY	23	I Condensed 15 Years of Technical Analysis Into 90 Mins (Full Course)
OKPgwonsnFU	975	STRATEGY	1	I Kept This Strategy ONLY For Myself, But Not Anymore | Price Action Heiken Ashi Trading
nAsif33tlSo	963	PSYCHOLOGY	0	The ONLY Trading Psychology Video You Should Watch TODAY
VgRyd2wipMM	896	PSYCHOLOGY	0	When Day Trading Finally Made Sense (Mindset, Psychology & Motivation)
_ccCcY9vqyk	866	CONCEPT	0	Master Supply & Demand And Support & Resistance Trading In 15 Minutes
GmbGLZk9eDY	963	MULTI-STRATEGY	3	I Hated Bollinger Bands Until I Learned This One Strategy
I2BeiQX1np8	881	PSYCHOLOGY	0	From Losing to Winning: Lessons To Make The Trading Game 10 Times EASIER!
4j1nB2cqR0U	904	CONCEPT	0	I Decoded The Stop Loss Hunting Algorithm In Trading
pAnzT_v0_Yc	878	PSYCHOLOGY	0	How To Get Ahead Of 99% Of Traders (In 6-12 Months)
oWy2-OMGr7A	859	PROMO	0	90% of Trading Books Are Useless, These Are The BEST Ones
Se1UJPhGnLQ	965	STRATEGY	1	I Regret Not Using This RSI Day Trading Strategy Before
kuzYxzSxEAg	927	TOOLING	0	Moving Average Trading Strategy EXPOSED (The 3-EMA Trading Strategy)
TqALA-5KS6Y	1011	STRATEGY	2	If You’re Not Trading This "RSI - Weekly VWAP" Strategy, You’re Missing Out!
ySa6ANFvW5w	983	CONCEPT	0	The Price Action Strategy That Makes Trading Look Easy!
UdzFEZfMo_E	956	PSYCHOLOGY	0	I Decoded The Manipulation Strategies Used By Smart Money In Day Trading
ZA0zpqCAIL4	893	CONCEPT	0	I Discovered How To Avoid Support & Resistance Manipulation In Day Trading
AVXSXzYrfws	987	STRATEGY	1	I Discovered The Secret To Trade Supply & Demand SUCCESFULLY!
CiVjVAlqzPM	982	STRATEGY	3	Number One VWAP Day Trading Strategy (Works On All Markets)
imp63ZnLyck	965	STRATEGY	0	The 200 EMA Confluence Trading Strategy You’ve Been Waiting For
NfrPZzinYlQ	974	MULTI-STRATEGY	2	Better Than Candlesticks? This NEW Trading Chart Is A Game Changer
ggS7QQjDj38	908	PSYCHOLOGY	0	Trading Psychology: The 15-Minute Reality Check That Will WAKE You Up
oc866aQoYcM	911	STRATEGY	1	A Day Trading Strategy I Wish I Knew In My First Years (For Beginners)
uyQD5W4HDAk	939	STRATEGY	1	The 1 Minute Scalping Trading Strategy To Bank $100/Day
sLfbqZq5LOA	960	MULTI-STRATEGY	3	A Reliable Scalping Strategy I Discovered After 1 Month of Price Action Trading
qsawJuLmJEM	920	STRATEGY	1	Game-Changing Break & Retest Trading Strategy To Avoid 82.3% Of False Signals
o9q7HeKmYmc	787	PSYCHOLOGY	0	I Decoded The Formula To Trade With ZERO Stress And NO Emotions
5ZYVXiSKfxU	894	STRATEGY	1	I Finally Found A 5-Minute Scalping Trading Strategy That ACTUALLY Works
HyvQOZ3J28s	887	STRATEGY	1	I Decoded The Liquidity & Manipulation Algorithm In Day Trading
OsqcYcJ83Gg	902	STRATEGY	3	The Break of Structure Trick Nobody Explains Properly (Price Action Strategy)
ljiOakOsIuI	880	CONCEPT	0	What THEY Don’t Teach You About Day Trading Market Structure (For Beginners)
hu4uutTa0mo	781	STRATEGY	1	The “M-W” Gartley CHEAT Code (Best Price Action Harmonic Pattern)
Lg90ffQBYHY	847	STRATEGY	1	You Won't Believe The Power Of AB=CD Harmonic Pattern (Trading Strategy Revealed)
T2gm3nx4eAU	885	CONCEPT	0	I Lost A Lot Of Money Day Trading, Until I Understood Smart Money Manipulation
d7BqlY3BjoQ	825	CONCEPT	0	VSA Concepts For Beginners: Day Trading Using Volume Spread Analysis
zBfryE4v3Fk	850	STRATEGY	1	You Won’t Believe The Power Of Market Fractals (Support & Resistance Trading Strategies)
qXgUNc9Rvjs	793	CONCEPT	0	Become An Expert Elliott Wave Trader INSTANTLY (The Ultimate CHEAT SHEET)
7NZXUvNduc0	800	CONCEPT	0	Smart Money Concepts For Beginners: The Blueprint To Trade Like Banks
-2uhIRgvJXk	714	PSYCHOLOGY	0	The 10-Minute Talk That Will Make You An ALPHA Trader (Habits, Mindset & Motivation)
0dNxenQznZY	818	STRATEGY	1	Day Trading Will Never Be The Same With This AGGRESSIVE Price Action Strategy
Q9lPu2rJPaA	849	STRATEGY	2	Predict "Next Price Swing" With This VSA “Candle-Volume” Trading Strategy
O06FiQTgJ0Q	828	MULTI-STRATEGY	2	Don't MISS These Supply/Demand Entries (Smart Money Strategies Using Trading Indicators)
m7cL-TMKZpE	800	CONCEPT	0	STOP Using Moving Averages! Anchored VWAP is the FUTURE in Day Trading
_2R6Rxil33U	736	TOOLING	0	Stop Memorizing Candlestick Formations! Use This MINIMALIST Trading Strategy Instead
ezkO2KFXYg0	822	CONCEPT	0	The Pattern Used By Smart Money To Control Market Structure (Wyckoff Events & Phases REVEALED)
Qzirrjm2EQ0	825	MULTI-STRATEGY	3	I Discovered The “IDEAL ENTRY LEVEL” For Day Trading (Strategies REVEALED)
NpCZXLxAUqw	907	MULTI-STRATEGY	3	Price Action Trading Was Hard, Until I Found This "Momentum Tactic" (Strategies Included)
ncrqXFCQKOU	1009	MULTI-STRATEGY	2	Predict “The NEXT Candle” Using VSA | Price Action & Volume Spread Analysis Trading Course
KMrWZ3QbTfY	937	MULTI-STRATEGY	0	Swing Trading Was Hard, Until I Discovered This Pivot Points Trading Strategy
Dv9o9tCiqx8	770	CONCEPT	0	Day Trading Was Impossible Until I Applied Wyckoff Price-Volume Analysis (Smart Money Trading TIPS)
tMjgiULV_5k	1009	CONCEPT	0	Elliott Wave Trading Was Impossible, Until I Discovered These Price Action Clues (Simplified Guide)
RuwnypvGnjw	985	STRATEGY	1	Supply And Demand Trading Was Hard, Until I Discovered Heiken Ashi Charts (Smart Money Strategies)
-s-IjJjj--g	820	CONCEPT	0	"Point And Figure" Trading Explained For Beginners (Supply And Demand Trading Course)
vBM0imYSzxI	941	STRATEGY	1	Scalping Trading Was Impossible, Until I Found How To Combine EMA RSI ADX Indicators (FULL Strategy)
9e7OUfKTw6Y	978	STRATEGY	2	Ichimoku Trading Was Hard, Until I Found This Powerful Strategy (Cloud Trading Strategies)
BvUJ9upqpyI	876	STRATEGY	2	Day Trading Is SUPER Easy When You Use This INSANE "Breakout" Strategy
4xIAZ7vSsRY	903	STRATEGY	1	99% Of Scalpers Missed This “Double VWAP” Hack (VWAP Heiken Ashi Trading Strategy)
YWQ-HEUJcdg	759	CONCEPT	0	How To Trade Like Banks | “Wyckoff Market Structure” Supply And Demand Trading Strategies
48gxeTt-Sdw	808	STRATEGY	1	Private EMA Heikin Ashi Scalping | How To Scalp Forex & Stocks Using HI-LO Trading Strategy
u3LXGcnCpbQ	792	STRATEGY	1	BEST Swing Trading Strategy If You Have A 9-To-5 Job
Jd1JVF7Oy_A	783	TOOLING	0	The FASTEST & Most AGGRESSIVE EMA Indicators For ZERO Lag Scalping Trading
DmzbTvHnCFI	781	MULTI-STRATEGY	2	How To Trade Momentum & Volatility With TTM Squeeze Indicator (Trading Strategies Revealed)
_lACakJCIeM	827	CONCEPT	6	Fibonacci Trading Was Hard, Until I Discovered These Strategies
7J2djQ9C-dE	809	STRATEGY	1	This Heiken Ashi & 50-EMA Strategy Is The Best Kept Secret In Day Trading
WS3zSvL3H9U	771	MULTI-STRATEGY	3	How To Combine Price & Volume Using This LEADING Indicator (TSV Trading Strategies)
Oo376XlntIs	611	CONCEPT	0	BEST TIME FRAMES For Day Trading & Scalping (For Beginners)
C9G5KgB9Ze4	757	CONCEPT	0	How To Trade Like Banks Using Accumulation & Distribution | WYCKOFF Trading Course For Beginners
5FYolSPZFBA	637	TOOLING	0	How To Scan & Find Explosive Stocks To Day Trade (TradingView Stock Screener Strategy)
rThEVFW75Ew	783	STRATEGY	1	Master The 21/55 EMA Day Trading Strategy And Be Successful
jW1Blz9L5Kg	615	STRATEGY	1	How To Trade Like Banks Using SUPPLY And DEMAND | Smart MONEY Forex Trading Strategy
q7G2S6Q7v0I	624	TOOLING	0	Tick Charts Explained For Day Trading (Ultimate EDGE)
m4s92G6pzjY	683	CONCEPT	0	TOP 10 Divergence Trading Strategies For Beginners | How To Trade Divergences Effortlessly
VXmfaLdCA64	603	CONCEPT	0	How To Trade Like Banks | SUPPLY And DEMAND Price Action Course For Beginners
8TPJ78tgenA	633	TOOLING	0	ATR Indicator CHEAT CODE UNLOCKED (Average True Range Trading Strategies For Beginners)
aHwpqW211TQ	653	STRATEGY	1	Price Action RENKO Strategy for Day Trading & Scalping (Beginner Friendly)
6NW7Hm-9MpI	662	CONCEPT	0	High-Probability Japanese Candlestick Patterns For Day Trading & Swing Trading (For Beginners)
A5IgJuaKHdc	602	MULTI-STRATEGY	5	BEST 3-in-1 Indicator | Traders Dynamic Index Trading Strategies (TDI Explained for Beginners)
X1UeebLbz30	633	MULTI-STRATEGY	4	EASY Moving Average ENVELOPES Strategies for Scalping & Day Trading (For Beginners)
_quH-G1cbGs	659	TOOLING	0	Powerful RENKO Trading Course For Scalping & Day Trading
AivXfzhzs84	665	TOOLING	0	Smoothed EMA Heiken Ashi Strategies For Day Trading & Swing Trading (For Beginners)
o4UJexEVTls	602	MULTI-STRATEGY	3	How To Trade With Breadth Indicators (McClellan Oscillator, Advance Decline Line, Arms Index TRIN)
GeZq3qNMSnc	614	STRATEGY	1	The 1st Pullback Trading HACK (HIGH WIN RATE Price Action Strategy For Beginners)
sNx8jBm6tyY	656	CONCEPT	0	Candlestick Patterns CHEAT SHEET (UNIQUE Price Action Trading Strategy For Beginners)
q1z3cRRDZUE	607	MULTI-STRATEGY	3	Simple & Effective RANGE Trading Strategies For Beginners (Price Action Based)
LoasNROKPNA	622	STRATEGY	1	Explosive VWAP Trading Strategy For Scalping & Day Trading Stocks (For Beginners)
En2ZIfAyhBg	606	STRATEGY	0	Amazingly Simple 21/55 Moving Average Strategy For Day Trading & Scalping
LSuBeTxr9y4	649	CONCEPT	0	Elliott Wave Price Action Course | Wave Trading Explained (For Beginners)
F_WxllDE2TA	620	PSYCHOLOGY	0	7 Trading PSYCHOLOGY & DISCIPLINE Rules To Deal With Losses (The Winning Mindset of a Trader)
PJwrmBlAULA	641	CONCEPT	0	How To Combine LEADING & LAGGING Indicators (Best Trading Indicators for Beginners)
a0fUvVsp930	713	TOOLING	0	BEST Ichimoku Trading Strategies For Beginners (Ultimate Course To Ichimoku Cloud)
FuAkbgDgX_4	686	MULTI-STRATEGY	3	How To Trade With Rate Of Change To Forecast Price Momentum (Day Trading Strategies)
Daf9b-YZ_Ac	687	MULTI-STRATEGY	3	3 Professional Scalping Trading Strategies With TICK Index (Used by Pros to Beat the Markets)
TrTJR-6z6xY	610	PSYCHOLOGY	0	Money & Risk Management & Position Sizing Strategies To Protect Your Trading Account
0nRWsm4oAss	624	MULTI-STRATEGY	5	How to Increase Day Trading Profits Using Alligator Indicator (Forex & Stocks Strategies)
XsZI_Mn42z8	668	MULTI-STRATEGY	3	Chaikin Money Flow Volume Trading Strategies To Find High-Probability Signals
DQXqjjFz11k	707	STRATEGY	1	Best Indicator To Trade Multiple Time Frame Divergences | Ultimate Oscillator Forex & Stock Strategy
YGSkS32qB14	704	STRATEGY	1	How to Trade Multiple Moving Averages (GMMA Forex & CFD Stock Guppy Trading Strategy)
8pu_G3Eujh4	621	STRATEGY	1	Best Indicator To Trade Market Cycles (Schaff Trend Cycle Forex Trading Strategy)
bAT6F7x9K8M	680	MULTI-STRATEGY	4	RSI vs MFI Trading Strategies (How to Trade with Money Flow Index)
V-yQvlcAmi8	655	STRATEGY	2	The Ultimate Trading Guide to Hidden Divergences (From Novice to Pro)
kYIXLBpXxEo	605	TOOLING	0	The Scalping Chart Ignored By 99% Of Traders (Range Bar Charts Explained)
Ci1hKIHL9VY	610	MULTI-STRATEGY	3	Heiken Ashi CHEAT Strategies For Scalping & Day Trading (Forex, Stocks & Crypto)
2CSDcCoi_IU	659	STRATEGY	1	Trading MACD Divergences Like Professional Traders (Forex & Stocks Strategy)
G3Fs24AzRWs	628	STRATEGY	1	Trading RSI Trend Lines Made EASY (Forex & Stock Trading Strategy)
ZQwfLYTHEnY	627	TOOLING	0	Best Moving Average You've Probably Never Heard Of (McGinley Dynamic Trading Strategy)
vBJgPXW1nAM	659	TOOLING	0	Complete Guide To Fibonacci Extensions For Forex & Stock Trading (HIDDEN Support & Resistance Areas)
m0HjACP6sC4	606	STRATEGY	1	How To Trade Multiple Time Frames | The Triple Screen System For Forex & Stock Trading
U4YzUYy0V6A	633	STRATEGY	4	The Price Action Tool Ignored By 99% Of Traders (Andrews Pitchfork Stock Trading Strategy)
6NjxrYCG7uI	669	MULTI-STRATEGY	2	How to Trade With TRIX Indicator (Triple Exponential Average Forex & Stock Strategy)
QdbKApfwF-g	693	CONCEPT	0	How To Combine Trading Indicators (For Forex, Crypto & Stock Market)
mKFqW8HSmRg	691	STRATEGY	1	Trading Price Action Using DOJI Candlestick Pattern (Doji Forex Trading Strategy)
TnReMNDqxjo	642	STRATEGY	3	Trading With Ascending Triangles To Find Explosive Breakouts (Forex & Stock Trading Strategy)
NVH3tu0r1vE	610	MULTI-STRATEGY	4	Trading Price Action Using Line Charts (Old School Forex & Stock Trading Strategies)
IAmobSNn_OA	636	MULTI-STRATEGY	4	4 Price Action Pullback TRICKS You Need To Master (How To Trade Corrections Like A Pro)
q8kIpbtS1nw	602	STRATEGY	1	Super Easy London Breakout Strategy (Scalping Forex Market With A Simple System)
7XhVy9z5SbM	630	STRATEGY	0	The "3-EMA" 1-Minute Forex Scalping Strategy (BEST Trading System For Beginners)
bkSS_kPCctQ	651	STRATEGY	2	Trading With Fibonacci Pivot Points Made Easy (Forex & Stock Market Strategy For Beginners)
a6dblH5IopQ	609	STRATEGY	2	An Incredibly Easy Strategy to Trade Price Action Using ENGULFING Candlestick Pattern
l12ZLbkCEjI	605	TOOLING	1	The Ultimate Guide To HULL Moving Average (From Novice To Pro)
2G9fHBEsauE	675	MULTI-STRATEGY	3	Bollinger Bands Strategies THAT ACTUALLY WORK (Trading Systems With BB Indicator)
JzYRu7Mr6uw	607	MULTI-STRATEGY	2	Trading With VWAP Indicator For Beginners (Best Ways To Trade Stocks & Forex With VWAP)
7jMbCTj17zQ	670	MULTI-STRATEGY	5	Most Effective Strategies To Trade With Stochastic Indicator (Forex & Stock Trading)
